"source","target","sign","weight","inertia","target_class","causal_mechanism","evidence_source","evidence_strength","bidirectional_pair_id","status","review_notes"
"gdp","unemployment_rate","negative","-0.40","3","fast","Higher output tends to reduce joblessness in the short run","OECD macro labor relationship","high","","approved","legacy_import_existing_relationship"
"central_bank_policy_rate","unemployment_rate","positive","0.18","3","fast","Tighter monetary policy typically weakens labor demand","ECB transmission mechanism","high","","approved","batch1_labor_prices"
"nominal_minimum_wage","unemployment_rate","positive","0.10","4","fast","Fast wage floor hikes can raise entry level unemployment risk","OECD minimum wage literature","medium","","approved","batch1_labor_prices"
"vat","inflation_consumer_prices","positive","0.35","2","fast","Consumption tax changes pass through to consumer prices","ECB inflation pass-through research","high","","approved","legacy_import_existing_relationship"
"central_bank_policy_rate","inflation_consumer_prices","negative","-0.22","3","fast","Higher policy rates dampen demand-led price pressure","ECB monetary transmission","high","","approved","batch1_labor_prices"
"nominal_minimum_wage","inflation_consumer_prices","positive","0.12","3","fast","Wage cost increases can pass into final prices","OECD wage-price dynamics","medium","","approved","batch1_labor_prices"
"unemployment_rate","gini_coefficient","positive","0.24","8","slow","Labor market slack raises income dispersion risk","OECD inequality and labor studies","high","","approved","batch3_poverty_inequality"
"tax_revenue","gini_coefficient","negative","-0.16","9","slow","Higher fiscal capacity can support redistribution","IMF fiscal redistribution evidence","medium","","approved","batch3_poverty_inequality"
"tertiary_education_attainment","gini_coefficient","negative","-0.14","9","slow","More higher education access can narrow lifetime wage gaps","OECD education inequality evidence","medium","","approved","batch3_poverty_inequality"
"public_expenditure_on_health","infant_mortality_rate","negative","-0.20","9","slow","Higher public health spending improves maternal and neonatal care","WHO health systems evidence","high","","approved","batch2_activate_dormant"
"physicians_per_1000_people","infant_mortality_rate","negative","-0.18","8","slow","Greater doctor density improves early-life outcomes","OECD health workforce evidence","high","","approved","batch2_activate_dormant"
